"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,28 Jun 2022 10:47:46.784,28 Jun 2022 10:55:40.659,473.875
2,28 Jun 2022 12:18:58.264,28 Jun 2022 12:30:26.103,687.840
3,28 Jun 2022 13:53:51.276,28 Jun 2022 14:00:00.000,368.724

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,28 Jun 2022 11:22:32.308,28 Jun 2022 11:33:39.370,667.062
2,28 Jun 2022 12:58:12.684,28 Jun 2022 13:05:27.578,434.894

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,28 Jun 2022 10:41:13.962,28 Jun 2022 10:52:43.614,689.651
2,28 Jun 2022 12:17:01.702,28 Jun 2022 12:25:17.195,495.493

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,28 Jun 2022 10:39:40.526,28 Jun 2022 10:50:58.946,678.420
2,28 Jun 2022 12:15:05.518,28 Jun 2022 12:23:32.774,507.256


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,28 Jun 2022 11:09:47.933,28 Jun 2022 11:17:33.325,465.391
2,28 Jun 2022 12:42:07.672,28 Jun 2022 12:53:38.873,691.201








"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,28 Jun 2022 11:14:37.291,28 Jun 2022 11:20:12.660,335.369
2,28 Jun 2022 12:45:41.841,28 Jun 2022 12:57:09.395,687.553


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,28 Jun 2022 10:25:02.903,28 Jun 2022 10:33:02.721,479.818
2,28 Jun 2022 11:57:20.948,28 Jun 2022 12:08:37.896,676.949


