Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec),,,,,MEAN ACCESS TIME,,585.5729263
1,56:33.3,05:28.5,535.108,,,,,,,
2,28:57.6,37:55.3,537.623,,,,,,,
3,00:58.0,11:09.9,611.966,,,,,,,
4,33:30.0,44:55.0,684.974,,,7,12,11,11,11
5,07:17.9,18:51.0,693.175,,,,,,,
6,42:53.6,52:41.7,588.08,,,,,,,
7,21:21.5,25:35.9,254.471,,,,,,,
8,50:54.9,53:02.4,127.488,,,,,,,
9,23:08.7,32:28.3,559.606,,,,,,,
10,56:56.6,08:22.8,686.204,,,,,,,
11,30:52.9,42:24.3,691.348,,,,,,,
12,04:40.6,15:05.0,624.427,,,,,,,
13,38:01.1,47:06.5,545.373,,,,,,,
14,10:34.8,19:24.5,529.686,,,,,,,
15,42:35.7,52:30.5,594.725,,,,,,,
16,14:57.3,26:11.2,673.938,,,,,,,
17,48:27.3,00:06.3,698.991,,,,,,,
18,23:38.8,33:59.7,620.921,,,,,,,
19,01:18.4,07:18.2,359.892,,,,,,,
20,04:29.6,13:02.5,512.904,,,,,,,
21,38:12.3,49:24.7,672.493,,,,,,,
22,12:08.5,23:46.1,697.588,,,,,,,
23,45:59.2,56:40.2,641.042,,,,,,,
24,19:26.9,28:45.3,558.349,,,,,,,
25,52:10.6,00:55.9,525.314,,,,,,,
26,24:14.3,33:52.4,578.01,,,,,,,
27,56:27.3,07:28.0,660.668,,,,,,,
28,29:40.8,41:21.6,700.753,,,,,,,
29,04:29.5,15:16.7,647.206,,,,,,,
30,41:31.9,48:48.8,436.84,,,,,,,
31,45:53.5,53:29.1,455.635,,,,,,,
32,19:28.4,30:22.0,653.623,,,,,,,
33,53:23.9,05:04.4,700.549,,,,,,,
34,27:16.9,38:13.4,656.523,,,,,,,
35,00:50.9,10:24.3,573.413,,,,,,,
36,33:44.6,42:29.3,524.766,,,,,,,
37,05:53.4,15:15.9,562.479,,,,,,,
38,37:59.9,48:45.5,645.618,,,,,,,
39,10:58.1,22:36.9,698.781,,,,,,,
40,45:25.4,56:33.0,667.629,,,,,,,
41,21:56.0,30:13.7,497.702,,,,,,,
42,27:22.0,33:46.0,384.009,,,,,,,
43,00:45.2,11:14.2,629.08,,,,,,,
44,34:39.1,46:19.0,699.894,,,,,,,
45,08:33.8,19:44.2,670.356,,,,,,,
46,42:13.2,52:03.1,589.869,,,,,,,
47,15:16.5,24:04.6,528.063,,,,,,,
48,47:32.3,56:41.1,548.845,,,,,,,
49,19:34.5,30:03.8,629.27,,,,,,,
50,52:19.0,03:52.4,693.447,,,,,,,
51,26:26.0,37:48.8,682.776,,,,,,,
52,02:28.2,11:35.3,547.166,,,,,,,
53,08:59.8,13:48.9,289.084,,,,,,,
54,42:02.9,52:01.1,598.195,,,,,,,
55,15:54.4,27:29.7,695.275,,,,,,,
56,49:50.2,01:12.3,682.072,,,,,,,
57,23:34.1,33:41.2,607.028,,,,,,,
58,56:46.4,05:41.4,535.022,,,,,,,
59,29:10.6,38:08.3,537.75,,,,,,,
60,01:10.9,11:23.1,612.179,,,,,,,
61,33:43.1,45:08.2,685.093,,,,,,,
62,07:31.2,19:04.3,693.078,,,,,,,
63,43:07.2,52:54.8,587.635,,,,,,,
64,21:35.8,25:48.7,252.877,,,,,,,
65,51:06.9,53:17.4,130.505,,,,,,,
66,23:21.9,32:42.0,560.095,,,,,,,
67,57:09.8,08:36.1,686.333,,,,,,,
68,31:06.1,42:37.4,691.255,,,,,,,
69,04:53.8,15:18.0,624.232,,,,,,,
70,38:14.2,47:19.4,545.246,,,,,,,
71,10:47.8,19:37.6,529.774,,,,,,,
72,42:48.7,52:43.6,594.938,,,,,,,
73,15:10.4,26:24.4,674.087,,,,,,,
74,48:40.6,00:19.5,698.945,,,,,,,
75,23:52.3,34:12.9,620.562,,,,,,,
76,01:32.4,07:31.2,358.82,,,,,,,
77,04:42.8,13:16.3,513.501,,,,,,,
78,38:25.5,49:38.1,672.68,,,,,,,
79,12:21.7,23:59.2,697.533,,,,,,,
80,46:12.4,56:53.2,640.856,,,,,,,
81,19:40.0,28:58.2,558.193,,,,,,,
82,52:23.6,01:08.9,525.357,,,,,,,
83,24:27.3,34:05.5,578.213,,,,,,,
84,56:40.4,07:41.2,660.842,,,,,,,
85,29:54.0,41:34.8,700.754,,,,,,,
86,04:43.0,15:29.9,646.923,,,,,,,
87,41:45.8,49:01.8,436.013,,,,,,,
88,46:06.6,53:42.9,456.371,,,,,,,
89,19:41.6,30:35.5,653.874,,,,,,,
90,53:37.1,05:17.6,700.534,,,,,,,
91,27:30.1,38:26.4,656.358,,,,,,,
92,01:04.0,10:37.3,573.234,,,,,,,
93,33:57.5,42:42.3,524.763,,,,,,,
94,06:06.3,15:29.0,562.665,,,,,,,
95,38:12.9,48:58.7,645.811,,,,,,,
96,11:11.3,22:50.1,698.826,,,,,,,
97,45:38.8,56:46.2,667.413,,,,,,,
98,22:09.8,30:26.8,497.036,,,,,,,
99,27:35.1,34:00.0,384.946,,,,,,,
100,00:58.4,11:27.8,629.4,,,,,,,
101,34:52.3,46:32.3,699.922,,,,,,,
102,08:47.0,19:57.2,670.207,,,,,,,
103,42:26.4,52:16.1,589.676,,,,,,,
104,15:29.5,24:17.6,528.015,,,,,,,
105,47:45.2,56:54.2,549.005,,,,,,,
106,19:47.5,30:17.0,629.477,,,,,,,
107,52:32.1,04:05.6,693.531,,,,,,,
108,26:39.4,38:02.0,682.622,,,,,,,
109,02:41.9,11:48.5,546.621,,,,,,,
110,09:12.7,14:03.1,290.388,,,,,,,
111,42:16.0,52:14.6,598.593,,,,,,,
112,16:07.6,27:43.0,695.352,,,,,,,
113,50:03.4,01:25.4,681.95,,,,,,,
114,23:47.3,33:54.1,606.831,,,,,,,
115,56:59.4,05:54.4,534.932,,,,,,,
116,29:23.5,38:21.4,537.877,,,,,,,
117,01:23.9,11:36.3,612.393,,,,,,,
118,33:56.2,45:21.4,685.212,,,,,,,
119,07:44.5,19:17.5,692.979,,,,,,,
120,43:20.8,53:08.0,587.19,,,,,,,
121,21:50.1,26:01.4,251.273,,,,,,,
122,51:19.0,53:32.5,133.45,,,,,,,
123,23:35.0,32:55.6,560.583,,,,,,,
124,57:23.0,08:49.5,686.463,,,,,,,
125,31:19.3,42:50.5,691.164,,,,,,,
126,05:06.9,15:31.0,624.037,,,,,,,
127,38:27.3,47:32.4,545.12,,,,,,,
128,11:00.8,19:50.6,529.862,,,,,,,
129,43:01.6,52:56.8,595.151,,,,,,,
130,15:23.4,26:37.6,674.236,,,,,,,
131,48:53.9,00:32.8,698.898,,,,,,,
132,24:05.9,34:26.1,620.202,,,,,,,
133,01:46.4,07:44.2,357.739,,,,,,,
134,04:55.9,13:30.0,514.091,,,,,,,
135,38:38.7,49:51.5,672.867,,,,,,,
136,12:34.9,24:12.4,697.478,,,,,,,
137,46:25.6,57:06.2,640.671,,,,,,,
138,19:53.1,29:11.2,558.038,,,,,,,
139,52:36.5,01:21.9,525.402,,,,,,,
140,24:40.2,34:18.6,578.418,,,,,,,
141,56:53.4,07:54.4,661.016,,,,,,,
142,30:07.3,41:48.0,700.755,,,,,,,
143,04:56.5,15:43.1,646.638,,,,,,,
144,41:59.7,49:14.9,435.181,,,,,,,
145,46:19.7,53:56.8,457.103,,,,,,,
146,19:54.8,30:48.9,654.123,,,,,,,
147,53:50.3,05:30.8,700.519,,,,,,,
148,27:43.3,38:39.4,656.188,,,,,,,
149,01:17.1,10:50.2,573.058,,,,,,,
150,34:10.5,42:55.3,524.763,,,,,,,
151,06:19.2,15:42.1,562.853,,,,,,,
152,38:25.9,49:11.9,646.005,,,,,,,
153,11:24.5,23:03.3,698.871,,,,,,,
154,45:52.2,56:59.4,667.196,,,,,,,
155,22:23.6,30:39.9,496.366,,,,,,,
156,27:48.1,34:14.0,385.874,,,,,,,
157,01:11.5,11:41.3,629.718,,,,,,,
158,35:05.6,46:45.5,699.95,,,,,,,
159,09:00.2,20:10.3,670.059,,,,,,,
160,42:39.5,52:29.0,589.486,,,,,,,
161,15:42.6,24:30.5,527.97,,,,,,,
162,47:58.1,57:07.3,549.168,,,,,,,
163,20:00.5,30:30.1,629.684,,,,,,,
164,52:45.2,04:18.8,693.614,,,,,,,
165,26:52.7,38:15.2,682.466,,,,,,,
166,02:55.6,12:01.6,546.074,,,,,,,
167,09:25.6,14:17.2,291.68,,,,,,,
168,42:29.2,52:28.2,598.988,,,,,,,
169,16:20.8,27:56.2,695.429,,,,,,,
170,50:16.6,01:38.4,681.828,,,,,,,
171,24:00.4,34:07.1,606.636,,,,,,,
172,57:12.5,06:07.3,534.845,,,,,,,
173,29:36.5,38:34.5,538.007,,,,,,,
174,01:36.8,11:49.4,612.607,,,,,,,
175,34:09.3,45:34.6,685.33,,,,,,,
176,07:57.8,19:30.7,692.88,,,,,,,
177,43:34.4,53:21.2,586.742,,,,,,,
178,22:04.5,26:14.1,249.651,,,,,,,
179,51:31.1,53:47.5,136.319,,,,,,,
180,23:48.2,33:09.3,561.067,,,,,,,
181,57:36.2,09:02.8,686.591,,,,,,,
182,31:32.5,43:03.6,691.073,,,,,,,
183,05:20.1,15:44.0,623.844,,,,,,,
184,38:40.3,47:45.3,544.996,,,,,,,
185,11:13.7,20:03.7,529.952,,,,,,,
186,43:14.5,53:09.9,595.365,,,,,,,
